screenId,summary
18227,welcome page for a repost app
17629,page displaying different locations to select
17629,page displaying list of destinations informations
17629,page displaying to select destination
17629,page displaying with list of destinations to select
17629,page showing to select destination on app
33057,page displaying product details in shopping app
33057,page displaying the details of pants to buy
33057,page displaying various images in a shopping app
33057,screen displaying pant with price in shopping app
33057,screen displaying product details with price
26564,list of options under preference menu
26564,page displaying list of settings in app
26564,page displays preferences list in app
26564,screen page displaying various options to select in settings application
26564,screen showing preferences page for an app
17078,display of screen shows restaurant summary
17078,page displaying information about restaurant with reviews
17078,page displaying the details about list in restaurant
17078,page showing restaurant details and reviews
17078,screen displaying multiple users reviews information
28745,blank page of videos in app
28745,display of screen shows no saved videos
28745,page displaying about videos in application
28745,page displaying status of saved data
28745,screen page displaying status with various options
15339,alert message to select an app for sharing the file
15339,display of list of sharing applications
15339,page displaying with application options for sharing
15339,page showing various applications to share
15339,pop-up displaying list of apps to select
25962,display of categories in a shopping app
25962,page displaying departments of an online shopping app
25962,page displaying the multiple options in a shopping app
25962,page of a shopping app showing list of shopping categories
25962,screen shows departments of home needs
18830,page asking details to submit
18830,page displaying the trips that are booked
18830,page displaying to enter personal details
18830,page showing my trips with fields to enter in application
18830,screen displaying trip contents in a booking application
15879,intial page of shopping application
15879,page displaying signing in information about a shopping application
15879,sign in page displayed of a online shopping app
15879,welcome page for a fashion application
15879,welcome to the sign in page
17909,display of screen shows playlist catalog
17909,page displaying about the playlist in music app
17909,page displaying different music player options
17909,page displaying playlist options on app
17909,page displaying the playlist
17856,app page with features of app and other options
17856,display of features in a tuning app
17856,page displaying multiple options to select
17856,page displaying the details of tuner pro
17856,various feed displayed
1659,notification displaying a question with different options
1659,pop requesting to give rating
1659,pop up displaying about rate the application
1659,pop up message of thank you and rate app option
1659,pop-up to rate an app
2099,display of items in a shopping app
2099,list of beds available for sale in the app
2099,page displaying different items in an shopping app
2099,page displaying various items and prices in shopping app
2099,page showing product from a shopping app
18858,login page of a job recruiting app
18858,login page of a job searching app
18858,login page
18858,login page
18858,page displaying log in option
31845,pop up contains gift and rewards for new user
31845,pop up displaying gift for installing app in weather app
31845,pop up displaying rewards in a weather app
31845,pop up window displaying an reward
31845,pop-up displaying with reward points
3474,intial page displaying an information
3474,page asking access for an app
3474,page displaying to enable keyboard for a sticker app
3474,page displaying with option to enable new keyboard
3474,welcome page displaying information about application with enable option
29327,display of filters for a hotel app
29327,page displaying list of filters in a renting application
29327,page displaying various filters
29327,page showing multiple options
29327,various filters page displayed of a hotel bookings app
23566,notification displaying list of years with other options
23566,page displaying the date month and year
23566,pop up displaying the years of the calendar
23566,pop-up page with options to set a year
23566,pop-up showing the date with list of years
15617,alert message displaying error creating account
15617,pop up displaying an error message
15617,pop up showing error
15617,pop-up with an error message
15617,popup displaying error information about account creation
24980,page displaying list of matches in a game app
24980,pop-up showing various qualifying rounds in gaming app
24980,pop-up showing various qualifying rounds in gaming app
24980,pop-up showing various qualifying rounds in gaming app
24980,push up displaying list of game rounds
10721,page displaying the weather conditions through social app
10721,page displaying to install an app
10721,pop up page displaying run out timer
10721,pop-up displaying the time remaining and list of apps
10721,screen displaying app of the day
24069,display of a page showing of medical health app
24069,page displaying information about finding a doctor
24069,page showing profile of a doctor
24069,page showing the options to find doctor in medical app
24069,screen page displaying doctor profile in a health application
12669,display of details about a version update
12669,notification displaying an information with later and update options
12669,notification displaying latest version updates
12669,pop up shows to update a new version
12669,pop-up window showing message about app update
26479,notification displaying various options
26479,pop up displaying menu of options of an devotional application
26479,pop up displaying the multiple options in menu list
26479,pop up displaying various options in devotional application
26479,pop up showing menu options
26265,page displaying list of games challenges in app
26265,page displaying new challenges list
26265,page displaying the multiple options new challenges
26265,page is showing challenges
26265,screen displaying challenges page
18929,alert window for confirming to turn off the demos
18929,notification displaying an information with no and yes options
18929,pop up alert for turn off all demos
18929,pop up to view the demos
18929,pop-up showing a reminder for demos
29333,list of places in a travel app
29333,map interface with options for a flight booking app
29333,page displaying country names in the tracking app
29333,page displaying with different country options to explore
29333,pop-up displaying country names on a map app
21894,home page of a weather forecast app
21894,page displaying information with search option
21894,page displaying the welcome page
21894,page displaying to search for resorts in app
21894,welcome page for a resorts searching app
19620,display of options for an account
19620,page displaying list of information about a social application
19620,page displaying list of options in app
19620,screen displaying list of options
19620,screen displaying user information with multiple icons and names
17541,display of screen shows about received points
17541,page displaying notification about earned points
17541,page displaying thank you text for completing survey
17541,page showing reward points
17541,screen displaying contents in rewards page
16954,page displaying start page of an quiz app
16954,page displaying the quiz
16954,page displaying with information and option to take a quiz
16954,screen displaying the welcome page of learning app
16954,welcome page with quiz option in health application
33068,initial page
33068,page showing to download contacts from mobile app
33068,screen displaying the options to download the app
33068,welcome page with download option
33068,welcome page of calling app
20103,screen displaying home page with offer details
20103,sign up page
20103,sign up page of the shopping app
20103,welcome page for a shopping app
20103,welcome page of a shopping app
10662,notification displaying various apps
10662,notification displaying various apps to share a file
10662,pop up asking to share with other apps
10662,pop up displaying multiple share options
10662,pop up showing multiple sharing options
15400,display of a page showing various notifications for app
15400,page displaying settings of notification sounds
15400,page displaying the notification settings
15400,page displaying the notification status
15400,screen displaying list of settings
14156,display of theaters page
14156,display showing view theaters near me
14156,page displaying about view nearby theaters
14156,page displaying theaters details
14156,page displaying to view the theaters in a theater app
22833,display of a reminder in an events app
22833,page displaying about the calendar about the date and note
22833,page displaying notes includes various other details
22833,screen showing event with date
22833,screen showing note with options
24787,options in a web browser
24787,page displaying new tab and search bar
24787,page displaying the search bar of a browsing app
24787,push up message to load new tab
24787,result page for a searched website
19727,display of searched car results
19727,page displaying car images
19727,page displaying different search results with other options
19727,page showing sale of cars in a website
19727,search bar of an automobile app with cars details
3569,image displaying about the themes and activation
3569,page displaying a theme with different options
3569,page displaying themes information
3569,page displaying to activate themes in app
3569,screen displaying multiple setting options in a theme page
25701,display of screen shows to setup an account
25701,display showing setup page
25701,page displaying multiple settings options
25701,page displaying the various set up options on calling app
25701,page displaying with setting options for the profile
1261,page displaying general screen settings
1261,page displaying multiple options to select
1261,page displaying multiple screen setting options
1261,page showing screen and play options
1261,page showing screen setting options
26141,list of how to communicate in different places
26141,page displaying list of informations about english language application
26141,page displaying list of useful english phrases
26141,page displaying the multiple options
26141,screen showing list of various phrases in learning app
33912,page displaying login option
33912,page displaying login or to create account
33912,page displays to login into an app
33912,screen displaying multiple login options
33912,welcome page
22310,pop up displaying to continue in social app
22310,pop up showing to continue as a user
22310,pop-up asking for access in a video calling app
22310,pop-up asking to continue as raphael
22310,pop-up displaying to continue to your social app
21284,display of recipe details to enter in food recipes app
21284,list of options for submitting the new recipe
21284,page displaying different fields to enter in recipe application
21284,page displaying to submit new recipe
21284,screen displaying to submit recipe
18728,display of screen shows news
18728,page displaying list of articles in a news app
18728,page displaying news articles of an news application
18728,page displaying top stories
18728,page displaying various news
11088,display showing notifications are enable
11088,notification page displayed
11088,page displaying a selected option
11088,page displaying notification in on mode
11088,page displaying notification option in app
32806,display of screen shows to invite from social app
32806,display showing to search friends
32806,page displaying search bar to invite friends from social app
32806,page displaying search for friends in an social application
32806,page displaying to search friends in social app
27340,display of screen shows tracking options
27340,page displaying the list of tracking options
27340,page displaying various health tracking options
27340,screen displaying list of options for tracking
27340,screen displaying the options for tracking
17937,shopping app with list of grocery products to shop
17937,display of items in a shopping app
17937,display of screen shows shopping list
17937,page displaying to select an item in shopping application
17937,page showing shopping list with add items
2968,page displaying california adventure wait times
2968,page displaying different places of a city
2968,page displaying different places
2968,page displaying various places
2968,page showing list of places
30082,display of screen shows to enter a referral code
30082,page displaying enter referral code
30082,page displaying to enter a code
30082,page showing to enter referral code on app
30082,referral code page
20013,page asking the details from the user details
20013,page displaying about baby names in application with done option
20013,page displaying details to be entered with done option
20013,page displaying options for baby name
20013,page displaying to enter baby name
20711,display page showing multiple article for book reading app
20711,list of articles on a science app
20711,page displaying different articles with search icon
20711,page displaying few science topics
20711,page showing list of articles
34044,display of options in a course learning app
34044,home page displaying about scorecard
34044,page displaying instructions to create a scorecard
34044,page displaying of options in a course learning app
34044,page is showing options to create scorecard
11144,display of a location map
11144,page displaying a location point
11144,page displaying the current location
11144,page displaying the location finder app
11144,page displaying to save location in an location application
23292,display of albums in a music player app
23292,one genre of the music is displaying
23292,page displaying for music application
23292,page of a music player application
23292,screen displaying the genres page
27743,display of screen shows about translation app
27743,page asking to type what you hear
27743,page displaying with language translation application
27743,pronunciation page displaying of a language translations app
27743,screen page of language translator application
20637,page displaying agree and disagree for terms
20637,page displaying to select an option
20637,page displaying with agree and disagree option in application
20637,page displaying with information about the application and few options
20637,page displays to agree notifications in app
32250,page displaying to enter a password
32250,page is showing please confirm your new pin in application
32250,page showing to enter pin
32250,screen showing confirmation page for lock the videos
32250,screen shows a video locker
13974,display page showing various options in weather forecast app
13974,page displaying various settings
13974,screen displaying multiple setting options in a weather forecast application
13974,setting page displaying various options in weather application
13974,settings page displaying various options in weather application
14603,display of error message for while playing a media player
14603,displaying an error for the page
14603,page displaying error of an social app
14603,page screen displaying error message in entertainment app
14603,page showing information about an error
1792,page asking search by a name
1792,page displaying search option for friends
1792,page showing the search bar to find new friends
1792,page showing with no one to talk with in application
1792,screen page displaying an emoji with question
21589,display page showing weather information
21589,page displaying with weather forecast details for the days
21589,screen displaying the weather condition of a location
21589,weather application displays the weather forecast of san francisco
21589,weather forecasting for a location in weather forecasting app
1693,list of various gas stations on gas application
1693,page displaying gas stations information
1693,page displaying multiple gas stations in pure gas app
1693,page displaying results for gas stations
1693,page displaying various gas stations
20369,display of screen shows different series
20369,display of series
20369,list of series
20369,page displaying multiple series
20369,page displaying the list of series
14867,page displaying list of information about a shopping application
14867,page displaying the list of accessories regarding dresses
14867,page displaying various categories in shopping application
14867,page displaying with list of collections in shopping app
14867,screen displaying the dresses collections in shopping app
28253,display of a page to help login
28253,displaying information about an application in help page
28253,help page is being displayed
28253,page displaying the instructions
28253,page is showing help for login
26362,checkout page with empty cart
26362,empty cart of a shopping app
26362,page displaying cart items in a shopping app
26362,page displaying with empty cart
26362,page is showing cart is empty
27863,list of options under the formatting and display menu
27863,list of setting options under formatting and display
27863,page displaying different options with check box
27863,page displays display settings in app
27863,settings page
28564,display of a page showing various steps for business app
28564,list of premium payment plans for course and ideas application
28564,page displaying course offers in a learning application
28564,page showing next steps
28564,screen displaying list of business plans
356,pop up displaying multiple icons and names
356,pop up displaying the multiple share options
356,pop up showing different sharing options
356,pop up showing various apps for sharing link
356,pop-up displaying multiple applications to share
34175,display of contact list in a contacts app
34175,page displaying list of various cars
34175,page displays list of dealers in app
34175,page is showing dealer names
34175,screen page displaying various automobile companies
15592,display page showing event details in a social application
15592,page displaying different events available in application
15592,page displaying event option
15592,page displaying event updates on app
15592,page showing you have n't joined any events yet in application
19344,display page to choose ingredients for juice in food app
19344,page displaying ingredients to prepare recipe of an food application
19344,page displaying list of ingredients in a recipe app
19344,page displaying smoothie
19344,page displaying the ingredients of detox green smooth
34418,display showing verification page
34418,email verification page
34418,page asking for user verification
34418,page displaying about the account verification
34418,screen displaying the for email verification
26803,different parameters are displaying for abilities
26803,display of abilities for a game app
26803,display of screen shows list of abilities
26803,page showing the abilities
26803,various ability list displayed
18789,pop up alert showing information
18789,pop up displaying about information
18789,pop up showing information about an app
18789,pop up showing information
18789,pop-up showing instructions
11317,display of screen shows a login page
11317,log in page displayed of a health care app
11317,login and sign up page for the application with information
11317,page displays to login into an app
11317,welcome displaying to sign in to an menstruation application
30805,display of screen shows theory
30805,many topics of a physics concept are displaying
30805,page displaying theory page in a learning app
30805,screen is showing theory in an learning application
30805,welcome page
10038,display of news articles in a news app
10038,page showing list of articles on weather condition
10038,page showing list of weather based articles on an app
10038,page showing the weather blogs
10038,screen displaying list of news
17895,display of options for a security app
17895,display page of a security application
17895,home page with various options
17895,page displaying regarding protection with different options
17895,set of options in a security app
29663,screen displaying information about an application and a signin option
29663,sign in page for winning coupons during events
29663,sign in page
29663,starting page of shopping application
29663,welcome page of shopping app
11131,pop up alert to choose country to search in
11131,pop up displaying a list of country names
11131,pop up page showing various country to choose for app
11131,pop-up asking to choose a country
11131,popup displaying list of countries information
1202,pop up displaying about create an account
1202,pop up showing to create your account
1202,pop-up for creating account with details and sign in option
1202,pop-up to create an account
1202,pop-up with account creation options in a deals based app
33627,display of information about ac controlling for a mobile
33627,pop up displaying instructions
33627,pop up page to click ok
33627,pop-up displaying the checklist
33627,pop-up showing the checklist
27178,display showing to find route map
27178,page displaying a from address to check the route map
27178,page displaying to enter the location in a navigation app
27178,page of a map application
27178,page with options to set location to route the map
19919,log in page for a social app
19919,page displaying to create a username
19919,page displaying with option to enter username for the account
19919,page showing pick a username
19919,sign up page
19385,home page displaying about offers in shopping app
19385,merchant app with some information and options
19385,page displaying for a trading application
19385,page displaying offers of buying and selling
19385,page displaying offers status
24132,display of screen shows to access
24132,page showing information about email
24132,pop up alert for permission
24132,pop up displaying to continue in app
24132,pop up showing to allow access for app
14755,display of options in a comics app
14755,empty store page displayed of a ebook reading app
14755,page showing list of comics
14755,page showing new comics
14755,screen showing a blank screen in comic page
2853,list of categories available for health and wellness
2853,page displaying for a healthcate application
2853,page displaying list of topics to read
2853,page displaying with various categories to read
2853,page showing the options to choose categories
27047,page displaying store includes advertisement
27047,page displaying the subscriptions options
27047,page displaying to restore subscriptions in app
27047,page shows the subscription price options on music app
27047,store page of a song lyrics app
32918,page displaying the weather information
32918,page displaying various weather notifications
32918,page displaying with different settings for notifying weather status
32918,page displays a weather notification settings in app
32918,screen page displaying various options in climate application
13364,page displaying options
13364,page displaying the information of the app
13364,page displaying various categories in fitness application
13364,page displaying with options to know more about the application
13364,screen displaying list of recommended app for exercise
21700,alert message to select an app for sharing the file
21700,display of list of sharing applications
21700,pop up alert with options to share
21700,pop up displaying apps to share a file
21700,pop up page displaying various apps for sharing info
33398,display of screen shows questions
33398,page asking questions
33398,page displaying a question of a quiz app
33398,page displaying quiz questions
33398,page displaying various questions
33904,display of articles in a social app
33904,display showing a social page with number of accounts
33904,page displaying list of posts in a social app
33904,page displaying with different reviews and few options with it
33904,page displays list of profiles in app
12148,page displaying support information about an application
12148,page displaying support options
12148,page showing different options
12148,page shows the contact support information of the application
12148,screen displaying a social id 's to submit report
27061,alert message to select the app for sending the file
27061,page displaying application option for sharing email
27061,page to choose an app to send email
27061,pop-up widget showing a sharing app
27061,popup showing options to send
11580,catalog of various phrases page displayed of a language app
11580,display page of a language learning app
11580,learning application with list of various spanish phrases
11580,list of options available in the app
11580,screen displaying spanish phrases on different topics
25997,page asking to select story
25997,page displaying to select the story in entertainment application
25997,page showing text of story
25997,screen displaying the page to select favorite story
25997,screen showing favorite story page
14469,login page displaying to enter email and password
14469,page displaying information to enter for signing into account
14469,page requesting to enter details to sign in
14469,sign in page
14469,sign in page
22170,display with multiple options
22170,display of screen shows a blank camera page
22170,list of options available in the app
22170,page displaying camera icon with other options
22170,screen displaying multiple control options and a camera icon
16173,display showing to enter name
16173,displaying an option in focus n filters page
16173,page displaying about the editing filters
16173,page displaying to enter user details in name filter app
16173,screen displaying the input field for filter
31399,login page is displaying
31399,login page
31399,login page
31399,page displaying signing in information about an application
31399,screen displaying contents in login page
16338,display showing number of stickers
16338,page displaying different emojis and their types
16338,page displaying different images
16338,page displaying gift boxes
16338,page displaying stickers in the app
2967,page asking to select your country
2967,page displaying different options for selecting country
2967,page displaying list of countries to select your country
2967,page displaying the multiple county list
2967,screen showing various options to select your country
16102,home page displaying to install media player app
16102,install page and details of app
16102,page displaying to install an app about the power
16102,page displays to install an application
16102,page to install an app
23569,page displaying for screenshot-blocking application
23569,page displaying information about screenshots
23569,page displaying screenshot blocking information
23569,page showing no screenshots allowed
23569,screen displaying the disclaimer no screenshots
25415,home screen displaying adjustments in audio app
25415,page displaying the equalizer settings
25415,page displaying the play previous and next options
25415,page displaying to play a song in a music app
25415,page displaying various sound options
12882,page asking to select a currency on app
12882,page displaying to choose currency
12882,page displaying to choose default currency
12882,page asking to choose default currency
12882,starting page for an application
34752,list of college names are displaying
34752,page displaying list of institutions in an education application
34752,page displaying list of institutions
34752,page displaying options to select institution
34752,page showing to choose institution
27648,display of screen shows of editting a picture
27648,page displaying multiple photo edit options
27648,page displaying mustache filters in photo editing app
27648,page displaying to select different kinds of hair and mustache
27648,page showing various editing options
18786,pop up displays the difference between older and updated version
18786,pop up page showing various release statement for app
18786,pop up to update its latest version
18786,pop-up displaying details about old and new releases
18786,pop-up showing about the version details
23025,display of screen shows about word app
23025,display showing to add words and test
23025,page displaying information about an app
23025,page is showing practice test
23025,screen displaying typing test application
27752,page displaying a word to translate in a learning app
27752,page displaying translate this sentence
27752,page displaying translation
27752,page of a translating app
27752,page showing option to translate text
33131,display of secs in a timer app
33131,page displaying about rest time
33131,page displaying rest time
33131,page is displaying a timer
33131,screen displaying the timer app
17346,display page to submit image in a news app
17346,few options for photo video and gallery
17346,page asking to share weather
17346,page displaying information about a weather app
17346,screen page displaying multiple options in weather application
18190,display of reviews for a movie
18190,movie description and ratings
18190,page displaying a movie name and rating
18190,page displaying information and rating with other options
18190,page displaying the information of a movie
180,display showing to create an account
180,page displaying credentials for registration in the app
180,page displaying details to create an account
180,page displaying the profile details
180,sign up page for creating account on social app
19767,notification displaying instructions in learning application
19767,pop up showing tutorial of an game app
19767,pop-up for tutorial to start the emoji application
19767,pop-up showing steps-wise instructions to customize the keyboard
19767,popup showing tutorial
11172,display of photos in a recent folder
11172,page displaying recent images
11172,page displaying with list of different images
11172,screen displaying multiple images with date in a gallery
11172,screen displaying recent images page
21663,alert message to select an app for sharing the file
21663,page asking to choose an app to share
21663,pop up displaying multiple icons with names
21663,pop-up widget displaying different sharing apps
21663,sharing options in a mobile
16037,page displaying different categories of sports in sports application
16037,page displaying list of options of sports
16037,page displaying settings options
16037,page showing variety of settings
16037,setting page displaying various options
2256,display of screen shows to share with other apps
2256,display page showing statement to share with various app
2256,pop showing to choose different kind of services
2256,pop up page displaying to share info through various ways
2256,pop-up showing different applications for sharing information
32297,display of settings for a music downloading app
32297,list of options under settings
32297,page displaying various settings
32297,page showing settings options of app
32297,various setting options
35285,display of screen shows personal details
35285,page displaying a profile
35285,page displaying about the account details
35285,page displaying the bank details of the account holder
35285,page displaying to setup the profile details for the account
2078,page displaying informations about a travel application
2078,page of a hotel booking app
2078,page showing travelling and accommodation details
2078,screen displaying about hotel details
2078,screen showing instruction for report at the airport
23313,display of categories in a ringtones app
23313,many ringtones for love are showing
23313,menu of options
23313,page displaying list of ringtones to play
23313,page showing various ring tones on app
29441,guide page of a language translation app
29441,page displaying information about how to translate
29441,page explaining how to translate
29441,screen displaying the page of translator app
29441,translation app guide lines with contact details and options
10740,page displaying new updates
10740,pop up asking to get started for an app
10740,pop up displaying get started option
10740,start in page displayed
10740,start page of social networking app
22980,display of grocery list in a shopping app
22980,display showing number of items in a grocery list
22980,page displaying about grocery list in shopping application
22980,page displaying app options available in the app
22980,page displaying with list for shopping groceries
10965,display of a page showing various settings for app
10965,display of settings in a learning app
10965,page displaying various settings
10965,page displaying with list of different settings and notification option
10965,settings page displayed of a audio app
34300,page displaying the list of categories to be sorted
34300,page displaying various hair style images and preferences
34300,page displaying various images
34300,screen displaying different types of hair remedies
34300,screen displaying videos page for hair styles
26846,display of playing a video in video player app
26846,page displaying video with icons
26846,page displays an image in app
26846,page playing a song in music application
26846,screen displaying video in video player app
32254,display of security options for an account
32254,page displaying general security settings
32254,page displaying security settings of the app
32254,page is showing security version and other options
32254,page showing variety of privacy options
20513,display of apps to open an application
20513,notification displaying different apps to open a file
20513,pop up showing list of options to open
20513,pop-up displaying the list of app options to open
20513,pop-up for open with other browser options
24244,display of options in a travel app
24244,page displaying the multiple options in a bolt bus
24244,page displaying the various options
24244,page displaying various options in a travelling application
24244,screen displaying multiple options in a booking application
12105,page displaying list of options for settings
12105,page displaying the multiple options in setting page
12105,page displaying with list of different settings
12105,screen showing settings page
12105,various types of settings are displaying in the page
3511,account page of a shopping app
3511,no saved loves are displaying in the shopping app
3511,screen displaying a shopping application
3511,screen displaying multiple options in a shopping application
3511,screen displaying the option to shop in my loves tab
27961,list of options available in the app settings
27961,page displaying the settings
27961,page displaying various settings options
27961,page showing list of options under settings menu
27961,settings page displayed
11283,displaying various colors and options in front color page
11283,page displaying different colors with other edit options
11283,page displaying the font colors
11283,page displaying to select font color
11283,settings page with different font and color options
14416,display showing number of images with number of views
14416,page displaying different images
14416,page displaying various images
14416,screen displaying the list of images under sorry category
14416,screen showing various sorry images in social app
30482,page asking to browse menu of an ecommerce store
30482,page displaying search bar to find stores
30482,page displaying search option for stores
30482,page displaying the preferred store locations
30482,page displaying to select the store in a food app
15762,home page of the sports with there countries and scores
15762,list of matches in a sports app
15762,page displaying scores in a sports application
15762,page displaying the scores
15762,page displaying with sports leagues information with scores
18483,display of posts
18483,list of captions available in the app
18483,page displaying with different posts in social networking application
18483,page showing multiple posts on social media app
18483,various posts
23687,page displaying information about a workout application
23687,page is showing workout for today
23687,page of a workout app
23687,page showing the suggestions for workout for today
23687,screen displaying of exercise application
15939,log in page for the application
15939,login page for the social app
15939,page displays to login into an app
